slot_id,condition,status,source_corpus,capture_cluster,candidate_name,attack_id,telemetry_depth,correct_verdict,acceptable_severity,acceptable_actions,operational_response_family,independence_notes,qa_result
ER-S01,strong,frozen_pre_model_2026-07-22,AIT-ADS,ait-russellmitchell,webshell command execution,T1505.003,single_source,malicious,high|critical,escalate|isolate,network_blocking,"one case from this AIT scenario","passed provenance, leakage, schema, and semantic review"
ER-S02,strong,frozen_pre_model_2026-07-22,AIT-ADS,ait-harrison,successful privilege escalation,T1548.003,multi_source,malicious,high|critical,escalate|isolate,credential_control,"one case from this AIT scenario","passed provenance, leakage, schema, and semantic review"
ER-S03,strong,frozen_pre_model_2026-07-22,AInception-SL100,sl100-chain,runtime manipulation of a control application with observed physical impact,T1565.003,multi_source,malicious,high|critical,escalate|isolate,network_blocking,"shares SL100 cluster; maximum two cases","passed temporal, causal-boundary, provenance, and semantic review"
ER-S04,strong,frozen_pre_model_2026-07-22,AInception-SL100,sl100-chain,successful remote execution pivot,T1021.006,multi_source,malicious,high|critical,escalate|isolate,endpoint_isolation,"shares SL100 cluster; maximum two cases","passed cross-host, leakage, provenance, and semantic review"
ER-W01,weak,frozen_pre_model_2026-07-22,Windows-APT-2025,wapt-DESKTOP-FMI6MML-2024-12-01T07:03Z,script-host TCP activity without established payload or session,T1095,single_source,suspicious,low|medium,monitor|investigate,analyst_escalation,"independent host/window","passed mapping, weak-boundary, provenance, and semantic review"
ER-W02,weak,frozen_pre_model_2026-07-22,Windows-APT-2025,wapt-DESKTOP-B37GATP-2024-12-22T09:00Z,inconsistent shutdown without established cause,T1529,single_source,suspicious,low|medium,monitor|investigate,analyst_escalation,"independent host/window","passed causal-uncertainty, provenance, and semantic review"
ER-W03,weak,frozen_pre_model_2026-07-22,Windows-APT-2025,wapt-DESKTOP-DS4FBF4-2024-12-01T18:46Z,monitoring-agent disconnect without proven tampering,T1562.001,single_source,suspicious,low|medium,monitor|investigate,analyst_escalation,"independent host/window","passed deliberate-impairment, provenance, and semantic review"
ER-W04,weak,frozen_pre_model_2026-07-22,AIT-ADS,ait-santos,scan-like activity without established hostile outcome,T1046,multi_source,suspicious,low|medium,monitor|investigate,analyst_escalation,"one case from this AIT scenario","passed authorisation-uncertainty, provenance, and semantic review"
ER-M01,missing,frozen_pre_model_2026-07-22,CAM-LDS,cam-s4-systemd,systemd preparation without observed service activation,T1543.002,multi_source,suspicious,low|medium,monitor|investigate,endpoint_isolation,"independent scenario 4 alert-time window","passed point-in-time scope, absence, provenance, and semantic review"
ER-M02,missing,frozen_pre_model_2026-07-22,CAM-LDS,cam-s6-macro-cron,crontab edit started without an installed or fired job,T1053.003,multi_source,suspicious,low|medium,monitor|investigate,analyst_escalation,"independent scenario 6 run","passed full-step absence, provenance, and semantic review"
ER-M03,missing,frozen_pre_model_2026-07-22,CAM-LDS,cam-s1-cron-sshkey,file-removal command with an explicit failed unlink result,T1070.004,single_source,suspicious,low|medium,monitor|investigate,analyst_escalation,"independent scenario 1 run","passed failed-outcome, provenance, and semantic review"
ER-M04,missing,frozen_pre_model_2026-07-22,CAM-LDS,cam-s3-ssh-healthcheck,backup-removal command with no matching target and failed unlink,T1490,single_source,suspicious,low|medium,monitor|investigate,endpoint_isolation,"independent scenario 3 run","passed failed-outcome, provenance, and semantic review"
ER-C01,counter,frozen_pre_model_2026-07-22,Windows-APT-2025,wapt-DESKTOP-QGB4EQH-2024-12-01T08:22Z,valid Microsoft servicing modules loaded by one DismHost process,T1574.002,single_source,benign,informational|low,close_benign|monitor,none,"independent host/window","passed upstream-correction, provenance, leakage, and semantic review"
ER-C02,counter,frozen_pre_model_2026-07-22,Windows-APT-2025,wapt-DESKTOP-QGB4EQH-2024-12-01T11:07Z,loopback WinRM traffic,T1021.006,single_source,benign,informational|low,close_benign|monitor,none,"independent time window from ER-C01","passed proposition-scope, provenance, and semantic review"
ER-C03,counter,frozen_pre_model_2026-07-22,Windows-APT-2025,wapt-DESKTOP-DS4FBF4-2024-11-06T06:27Z,valid Microsoft spooler modules loaded from the standard driver path,T1210,single_source,benign,informational|low,close_benign|monitor,none,"independent host/window","passed counter-boundary, provenance, and semantic review"
ER-C04,counter,frozen_pre_model_2026-07-22,AIT-ADS,ait-russellmitchell-normal,Ubuntu package update traffic,T1105,single_source,benign,informational|low,close_benign|monitor,none,"normal window outside all attack phases","passed benign-context, leakage, provenance, and semantic review"
